April 25,Rockot • Sentinel 3B
TBD,Electron • It’s Business Time
NET May 4,Falcon 9 • Bangabandhu 1
May 5,Atlas 5 • InSight
May 6,Long March 3B • Apstar 6C
Mid-May,Falcon 9 • SES 12
May 19,Falcon 9 • Iridium Next 51-55 & GRACE Follow-On
May 20,Antares • OA-9
May,Long March 4C • Chang’e 4 Relay
May 25,Ariane 5 • GSAT 11 & Azerspace 2/Intelsat 38
Early June,Falcon 9 • Telstar 19V
June,GSLV Mk.3 • GSAT 29
June 6,Soyuz • ISS 55S
June,Long March 3A • Fengyun 2H
June,Long March 2C • PRSS 1
NET June 13,Falcon Heavy • STP-2
June 14,Pegasus XL • ICON
June 28,Falcon 9 • SpaceX CRS 15
Mid-2018,Falcon 9 • Iridium Next 56-65
Mid-2018,Falcon 9 • Telkom 4
July 10,Soyuz • Progress 70P
July 25,Ariane 5 • Galileo 23-26
July,Falcon 9 • Spaceflight SSO-A
July 31,Delta 4-Heavy • Parker Solar Probe
August,Falcon 9 • Iridium Next 66-75
August,Falcon 9 • Crew Dragon Demo 1
Aug. 16,H-2B • HTV 7
Aug. 27,Atlas 5 • CST-100 Starliner Orbital Flight Test
September,Long March 2C • CFOSAT
NET September,Falcon 9 • GPS 3-01
September,Vega • Aeolus
Sept. 12,Delta 2 • ICESat 2
Sept. 14,Soyuz • ISS 56S
Sept. 18/19,Soyuz • MetOp C
Sept. 26,Delta 4-Heavy • NROL-71
October,GSLV Mk.2 • Chandrayaan 2
Oct. 5,Ariane 5 • BepiColombo
Oct. 11,Soyuz • Progress 71P
Oct. 18,Atlas 5 • AEHF 4
Nov. 1,Delta 4 • WGS 10
November,Vega • PRISMA
Nov. 10,Antares • OA-10
Nov. 15,Soyuz • ISS 57S
Nov. 16,Falcon 9 • SpaceX CRS 16
Late 2018,Long March 3B • Chang’e 4
Late 2018,Falcon Heavy • Arabsat 6A
TBD,Long March 5 • Chang’e 5
